,"M DE FOSILES, ROCAS Y MINERALES ",,,,,,,,,,,,,,,,,,,,,
,INVENTARIO DEL PATRIMONIO MINERALOGICO PT. 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CLAVE,NOMBRE,PROCEDENCIA,DESCRIPCION,UBICACIÓN,,IMAGEN,FECHA,OBSERVACION ,LUMINISCENCIA ,Tamaño,,,,,,,,,,,
,,,,,No. De caja ,No. De caja mediana ,,,,,Talla ,Medidas (cm),tipo,estatus,,,,,,,,
,21,Aragonito,,"Estalactita de cristales color blanco, translucido y brillo vitreo. ",1/106,3,,27/01/2025,Tienda ,Blanca,,,3,,,,,,,,,
,22,Calcita,,"Drusa de cristales prismáticos, incoloros a pardos por patina de óxidos; translucido y brillo vitreo. Sobre matriz caliza. ",1/106,3,,27/01/2025,Tienda ,Naranja,,,4,,,,,,,,,
,23,Estibina. Bornita y calcopirita,,"Agregado masivo con cristales subhedrales radiados de color acero, opaco y brillo metálico. Sobre cristal masivo de bornita color azulada, opaca y brillo metálico y granos de Calcopirita.  ",1/106,3,,27/01/2025,Tienda ,,,,5,,,,,,,,,
,24,Calcita,,"Drusa de cristales prismáticos color pardo rojizo, translucido y brillo vitreo. ",1/106,3,,27/01/2025,Tienda ,Amarillo ,,,6,,,,,,,,,
,25,Amatista,,"Cristales prismáticos maclados de color morado, transparente y brillo vitreo. Sobre una matriz microcristalina de cuarzo ",1/106,3,,27/01/2025,Tienda ,,,,7,,,,,,,,,
,26,Cuarzo,,"Drusa de cuarzo blanco, translucido y brillo vitreo. Con agregado granular de sulfuros tipo galena y calcopirita. ",1/106,3,,27/01/2025,Tienda ,,,,8,,,,,,,,,
,27,Malaquita psedu azurita,,"Cristales de azurita reemplazados por malaquita color verde, translucido y brillo sedoso. ",1/106,3,,27/01/2025,Tienda ,,,,9,,,,,,,,,
,28,"Fluorita, cuarzo y calcita",,"Cristales prismáticos de fluorita color morado, transparente y brillo vitreo. Con microcristales de cuarzo blanco en la base. ",1/106,3,,27/01/2025,Tienda ,Morada y naranja,,,10,,,,,,,,,
,29,Calcita,,"Drusa de cristales columnares color beige, translucido y brillo vitreo. ",1/106,3,,27/01/2025,Tienda ,Amarillo ,,,11,,,,,,,,,
,30,Calcita,,"Drusa de cristales columnares color beige, translucido y brillo vitreo. ",1/106,3,,27/01/2025,Tienda ,Amarillo ,,,12,,,,,,,,,
,31,"Cuarzo, calcita, esfalerita y pirita ",,"Cristales prismáticos cortos de esfalerita negra, con agregado de cristales prismáticos de cuarzo incoloro, transparente y vitreo y calcita blanca. ",1/106,3,,27/01/2025,Tienda ,Naranja,,,13,,,,,,,,,
,32,Calcita,,"Drusa de cristales color beige, translucidos y brillo vitreo con recubrimientos de microcristales. ",1/106,3,,27/01/2025,Tienda ,Amarillo ,,,14,,,,,,,,,
,33,Fluorita y cuarzo,,"Cristales prismáticos de fluorita color verde, transparente y brillo vitreo con agregado de granos de pirita. Sobre una matriz de microcristales de cuarzo incoloro. ",1/106,3,,27/01/2025,Tienda ,Azul ,,,15,,,,,,,,,
,34,Azurita y caolinita ,,"Masivo  y venas de azurita color azul, opaco y brillo mate. Sobre un cristal masivo de caolinita color blanco. ",1/106,3,,27/01/2025,Tienda ,,,,16,,,,,,,,,
,35,Datolita,,"Cristales prismáticos color beige, translucido y brillo vitreo. Con recubrimiento de microcristales de calcita. ",1/106,3,,27/01/2025,Tienda ,Amarillo ,,,17,,,,,,,,,
,36,Danburita,,"Cristal prismático con pequeñas maclas,  color blanco, translucido y brillo vitreo",1/106,3,,27/01/2025,Tienda ,,,,18,,,,,,,,,
,37,Calcita,,"Drusa de cristales prismáticos color blanco, translucido y brillo vitreo. ",1/106,4,,27/01/2025,Tienda ,Naranja,,,1,,,,,,,,,
,38,Cuarzo y ortoclasa ,,"Cristales prismáticos de cuarzo color gris, translucido y brillo vitreo. Con agregado de cristales de ortoclasa color blanco, translucido y brillo nacarado. Presenta cloritización. ",1/106,4,,27/01/2025,Tienda ,,,,2,,,,,,,,,
,39,Danburita y calcita ,,"Cristal prismático color blanco con incrustación de arcillas color pardo. Translucido y brillo vitreo. Este cristal esta recubierto por cristales prismáticos de calcita color blanca, transparente y brillo vitreo. ",1/106,4,,27/01/2025,Tienda ,Naranja,,,3,,,,,,,,,
